YEAR_,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,COUNTY
2019,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,3800,Okaloosa
2020,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,4600,Okaloosa
2021,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,3700,Okaloosa
2022,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,3300,Okaloosa
2023,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,4000,Okaloosa
2019,570005,57070000,GEORGIA AVE,VINSON RAY RD,5800,Okaloosa
2020,570005,57070000,GEORGIA AVE,VINSON RAY RD,5800,Okaloosa
2021,570005,57070000,GEORGIA AVE,VINSON RAY RD,5300,Okaloosa
2022,570005,57070000,GEORGIA AVE,VINSON RAY RD,6100,Okaloosa
2023,570005,57070000,GEORGIA AVE,VINSON RAY RD,5300,Okaloosa
2019,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1800,Okaloosa
2020,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1650,Okaloosa
2021,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1750,Okaloosa
2022,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1950,Okaloosa
2023,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,2000,Okaloosa
2019,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1500,Okaloosa
2020,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1400,Okaloosa
2021,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1400,Okaloosa
2022,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1700,Okaloosa
2023,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1500,Okaloosa
2019,570008,57509500,CR-393,MILLSIDE RD,350,Okaloosa
2019,570008,57000029,MILLSIDE RD,SECOND AVE,350,Okaloosa
2020,570008,57509500,CR-393,MILLSIDE RD,300,Okaloosa
2020,570008,57000029,MILLSIDE RD,SECOND AVE,300,Okaloosa
2021,570008,57509500,CR-393,MILLSIDE RD,400,Okaloosa
2021,570008,57000029,MILLSIDE RD,SECOND AVE,400,Okaloosa
2022,570008,57000029,MILLSIDE RD,SECOND AVE,350,Okaloosa
2022,570008,57509500,CR-393,MILLSIDE RD,350,Okaloosa
2023,570008,57000029,MILLSIDE RD,SECOND AVE,350,Okaloosa
2023,570008,57509500,CR-393,MILLSIDE RD,350,Okaloosa
2019,570009,57010000,MIDDLEBROOKS RD,SR-4,5500,Okaloosa
2020,570009,57010000,MIDDLEBROOKS RD,SR-4,5300,Okaloosa
2021,570009,57010000,MIDDLEBROOKS RD,SR-4,6000,Okaloosa
2022,570009,57010000,MIDDLEBROOKS RD,SR-4,6200,Okaloosa
2023,570009,57010000,MIDDLEBROOKS RD,SR-4,6500,Okaloosa
2019,570010,57509000,WALTON CO LINE,CR-393/HWY 393,350,Okaloosa
2020,570010,57509000,WALTON CO LINE,CR-393/HWY 393,450,Okaloosa
2021,570010,57509000,WALTON CO LINE,CR-393/HWY 393,500,Okaloosa
2022,570010,57509000,WALTON CO LINE,CR-393/HWY 393,400,Okaloosa
2023,570010,57509000,WALTON CO LINE,CR-393/HWY 393,500,Okaloosa
2019,570018,57030000,PARK ENT,STAHLMAN AVE,44500,Okaloosa
2020,570018,57030000,PARK ENT,STAHLMAN AVE,39000,Okaloosa
2021,570018,57030000,PARK ENT,STAHLMAN AVE,43500,Okaloosa
2022,570018,57030000,COASTGUARD STATION,STAHLMAN AVE,40500,Okaloosa
2023,570018,57030000,COASTGUARD STATION,STAHLMAN AVE,44500,Okaloosa
2019,570019,57030000,HAMPTON INN ENT/EXIT,RESTAURANT ROW,9200,Okaloosa
2019,570019,57030000,,WALTON CO LINE,9200,Okaloosa
2019,570019,57030000,,,9200,Okaloosa
2019,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,9200,Okaloosa
2020,570019,57030000,,WALTON CO LINE,7100,Okaloosa
2020,570019,57030000,HAMPTON INN ENT/EXIT,RESTAURANT ROW,7100,Okaloosa
2020,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,7100,Okaloosa
2020,570019,57030000,,,7100,Okaloosa
2021,570019,57030000,HAMPTON INN ENT/EXIT,RESTAURANT ROW,9600,Okaloosa
2021,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,9600,Okaloosa
2021,570019,57030000,,WALTON CO LINE,9600,Okaloosa
2021,570019,57030000,,,9600,Okaloosa
2022,570019,57030000,,WALTON CO LINE,8400,Okaloosa
2022,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,8400,Okaloosa
2022,570019,57030000,,,8400,Okaloosa
2022,570019,57030000,HAMPTON INN,RESTAURANT ROW,8400,Okaloosa
2023,570019,57030000,HAMPTON INN,RESTAURANT ROW,7300,Okaloosa
2023,570019,57030000,,WALTON CO LINE,7300,Okaloosa
2023,570019,57030000,,,7300,Okaloosa
2023,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,7300,Okaloosa
2019,570051,57060000,CR-602,CR-85A/SECOND AVE,4100,Okaloosa
2020,570051,57060000,CR-602,CR-85A/SECOND AVE,3800,Okaloosa
2021,570051,57060000,CR-602,CR-85A/SECOND AVE,4200,Okaloosa
2022,570051,57060000,CR-602,CR-85A/SECOND AVE,4600,Okaloosa
2023,570051,57060000,CR-602,CR-85A/SECOND AVE,4400,Okaloosa
2019,570054,57060000,CR-85A/SECOND AVE,CR-85A,3600,Okaloosa
2020,570054,57060000,CR-85A/SECOND AVE,CR-85A,3400,Okaloosa
2021,570054,57060000,CR-85A/SECOND AVE,CR-85A,3800,Okaloosa
2022,570054,57060000,CR-85A/SECOND AVE,CR-85A,4200,Okaloosa
2023,570054,57060000,CR-85A/SECOND AVE,CR-85A,4000,Okaloosa
2019,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,40500,Okaloosa
2020,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,40500,Okaloosa
2021,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,41500,Okaloosa
2022,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,42500,Okaloosa
2023,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,41000,Okaloosa
2019,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,9600,Okaloosa
2020,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,9400,Okaloosa
2021,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,11100,Okaloosa
2022,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,11400,Okaloosa
2023,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,10900,Okaloosa
2019,570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,3800,Okaloosa
2020,570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,3400,Okaloosa
2021,570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,4300,Okaloosa
2022,570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,4000,Okaloosa
2023,570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,4300,Okaloosa
2019,570101,57010000,SR-4,CR-4/ANTIOCH RD,15700,Okaloosa
2020,570101,57010000,SR-4,CR-4/ANTIOCH RD,16200,Okaloosa
2021,570101,57010000,SR-4,CR-4/ANTIOCH RD,17500,Okaloosa
2022,570101,57010000,SR-4,CR-4/ANTIOCH RD,17400,Okaloosa
2023,570101,57010000,SR-4,CR-4/ANTIOCH RD,18100,Okaloosa
2019,570110,57040000,57160118 SB ON,COUNTY LINE RD,12600,Okaloosa
2020,570110,57040000,57160118 SB ON,COUNTY LINE RD,12000,Okaloosa
2021,570110,57040000,57160118 SB ON,COUNTY LINE RD,13500,Okaloosa
2022,570110,57040000,57160118 SB ON,COUNTY LINE RD,14100,Okaloosa
2023,570110,57040000,57160118 SB ON,COUNTY LINE RD,15600,Okaloosa
2019,570118,57060000,CR-85A,COUNTY LINE RD,3200,Okaloosa
2020,570118,57060000,CR-85A,COUNTY LINE RD,3000,Okaloosa
2021,570118,57060000,CR-85A,COUNTY LINE RD,3200,Okaloosa
2022,570118,57060000,CR-85A,COUNTY LINE RD,3400,Okaloosa
2023,570118,57060000,CR-85A,COUNTY LINE RD,3400,Okaloosa
2019,570120,57070000,VINSON RAY RD,CR-2/HWY 2,4600,Okaloosa
2020,570120,57070000,VINSON RAY RD,CR-2/HWY 2,4600,Okaloosa
2021,570120,57070000,VINSON RAY RD,CR-2/HWY 2,4100,Okaloosa
2022,570120,57070000,VINSON RAY RD,CR-2/HWY 2,4900,Okaloosa
2023,570120,57070000,VINSON RAY RD,CR-2/HWY 2,5000,Okaloosa
2019,570121,57070000,CR-2/HWY 2,L G RUSSELL RD,3200,Okaloosa
2020,570121,57070000,CR-2/HWY 2,L G RUSSELL RD,3200,Okaloosa
2021,570121,57070000,CR-2/HWY 2,L G RUSSELL RD,3800,Okaloosa
2022,570121,57070000,CR-2/HWY 2,L G RUSSELL RD,4100,Okaloosa
2023,570121,57070000,CR-2/HWY 2,L G RUSSELL RD,4300,Okaloosa
2019,570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,14937,Okaloosa
2020,570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,14041,Okaloosa
2021,570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,15651,Okaloosa
2022,570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,16298,Okaloosa
2023,570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,16896,Okaloosa
2019,570124,57010000,CR-393/HWY 393,WALTON CO LINE,6700,Okaloosa
2020,570124,57010000,CR-393/HWY 393,WALTON CO LINE,6500,Okaloosa
2021,570124,57010000,CR-393/HWY 393,WALTON CO LINE,6200,Okaloosa
2022,570124,57010000,CR-393/HWY 393,WALTON CO LINE,7600,Okaloosa
2023,570124,57010000,CR-393/HWY 393,WALTON CO LINE,8400,Okaloosa
2019,570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,6600,Okaloosa
2020,570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,5900,Okaloosa
2021,570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,7100,Okaloosa
2022,570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,6700,Okaloosa
2023,570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,7000,Okaloosa
2019,570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,10000,Okaloosa
2020,570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,11000,Okaloosa
2021,570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,11300,Okaloosa
2022,570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,12700,Okaloosa
2023,570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,13000,Okaloosa
2019,570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,39790,Okaloosa
2020,570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,35651,Okaloosa
2021,570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,39090,Okaloosa
2022,570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,39424,Okaloosa
2023,570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,39431,Okaloosa
2019,570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,3400,Okaloosa
2020,570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,2500,Okaloosa
2021,570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,3100,Okaloosa
2022,570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,2900,Okaloosa
2023,570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,3500,Okaloosa
2019,570189,57140000,HARBOR BLVD,BENNING DR,3000,Okaloosa
2020,570189,57140000,HARBOR BLVD,BENNING DR,2300,Okaloosa
2021,570189,57140000,HARBOR BLVD,BENNING DR,2900,Okaloosa
2022,570189,57140000,HARBOR BLVD,BENNING DR,2700,Okaloosa
2023,570189,57140000,HARBOR BLVD,BENNING DR,2700,Okaloosa
2019,570190,57040026,SR-85 NB,EGLIN AFB GATE,10900,Okaloosa
2020,570190,57040026,SR-85 NB,EGLIN AFB GATE,10700,Okaloosa
2021,570190,57040026,SR-85 NB,EGLIN AFB GATE,9900,Okaloosa
2022,570190,57040026,SR-85 NB,SR-85 SB,4900,Okaloosa
2022,570190,57040026,SR-85 SB,EGLIN AFB GATE,9900,Okaloosa
2023,570190,57040026,SR-85 SB,EGLIN AFB GATE,9400,Okaloosa
2023,570190,57040026,SR-85 NB,SR-85 SB,4700,Okaloosa
2019,570200,57570000,CR-2/HWY 2,SR-85/HWY 85,500,Okaloosa
2020,570200,57570000,CR-2/HWY 2,SR-85/HWY 85,600,Okaloosa
2021,570200,57570000,CR-2/HWY 2,SR-85/HWY 85,600,Okaloosa
2022,570200,57570000,CR-2/HWY 2,SR-85/HWY 85,650,Okaloosa
2023,570200,57570000,CR-2/HWY 2,SR-85/HWY 85,600,Okaloosa
2019,570214,57550000,SR-85,,100,Okaloosa
2020,570214,57550000,SR-85,,100,Okaloosa
2021,570214,57550000,SR-85,,100,Okaloosa
2022,570214,57550000,SR-85,,100,Okaloosa
2023,570214,57550000,SR-85,,100,Okaloosa
2019,570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,2400,Okaloosa
2020,570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,2300,Okaloosa
2021,570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,2700,Okaloosa
2022,570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,2900,Okaloosa
2023,570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,2900,Okaloosa
2019,570219,57050000,57160131 NB OFF,57150005 SB ON,18199,Okaloosa
2020,570219,57050000,57160131 NB OFF,57150005 SB ON,16131,Okaloosa
2021,570219,57050000,57160131 NB OFF,57150005 SB ON,18128,Okaloosa
2022,570219,57050000,57160131 NB OFF,57150005 SB ON,17692,Okaloosa
2023,570219,57050000,57160131 NB OFF,57150005 SB ON,17765,Okaloosa
2019,570250,57130000,GREEN ACRES RD,MOONEY RD,31982,Okaloosa
2020,570250,57130000,GREEN ACRES RD,MOONEY RD,27875,Okaloosa
2021,570250,57130000,GREEN ACRES RD,MOONEY RD,30842,Okaloosa
2022,570250,57130000,GREEN ACRES RD,MOONEY RD,31524,Okaloosa
2023,570250,57130000,GREEN ACRES RD,MOONEY RD,31525,Okaloosa
2019,570260,57040000,SR-189,GEN ROBERT M BOND BL,39000,Okaloosa
2020,570260,57040000,SR-189,GEN ROBERT M BOND BL,35000,Okaloosa
2021,570260,57040000,SR-189,GEN ROBERT M BOND BL,39500,Okaloosa
2022,570260,57040000,SR-189,GEN ROBERT M BOND BL,40500,Okaloosa
2023,570260,57040000,SR-189,GEN ROBERT M BOND BL,39500,Okaloosa
2019,570261,57040000,57150002 NB ON,FROM SR-190,32000,Okaloosa
2020,570261,57040000,57150002 NB ON,FROM SR-190,32000,Okaloosa
2021,570261,57040000,57150002 NB ON,FROM SR-190,31500,Okaloosa
2022,570261,57040000,57150002 NB ON,FROM SR-190,30000,Okaloosa
2023,570261,57040000,57150002 NB ON,FROM SR-190,25000,Okaloosa
2019,570275,57590000,,US-90/SR-10/HWY 90,4900,Okaloosa
2020,570275,57590000,,US-90/SR-10/HWY 90,4500,Okaloosa
2021,570275,57590000,,US-90/SR-10/HWY 90,5700,Okaloosa
2022,570275,57590000,,US-90/SR-10/HWY 90,5300,Okaloosa
2023,570275,57590000,,US-90/SR-10/HWY 90,5500,Okaloosa
2019,570278,57620000,US-90/SR-10/HWY 90,BUCK WARD RD,1500,Okaloosa
2020,570278,57620000,US-90/SR-10/HWY 90,BUCK WARD RD,1700,Okaloosa
2021,570278,57620000,US-90/SR-10/HWY 90,BUCK WARD RD,1700,Okaloosa
2022,570278,57620000,US-90/SR-10/HWY 90,BUCK WARD RD,1800,Okaloosa
2023,570278,57620000,US-90/SR-10/HWY 90,BUCK WARD RD,1600,Okaloosa
2019,570280,57620000,ADDISON PLACE,US-90/SR-10/HWY 90,9600,Okaloosa
2020,570280,57620000,ADDISON PLACE,US-90/SR-10/HWY 90,9000,Okaloosa
2021,570280,57620000,ADDISON PLACE,US-90/SR-10/HWY 90,9300,Okaloosa
2022,570280,57620000,ADDISON PLACE,US-90/SR-10/HWY 90,10900,Okaloosa
2023,570280,57620000,ADDISON PLACE,US-90/SR-10/HWY 90,10900,Okaloosa
2019,570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,900,Okaloosa
2020,570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,850,Okaloosa
2021,570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,750,Okaloosa
2022,570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,700,Okaloosa
2023,570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,750,Okaloosa
2019,570283,57620501,ANTIOCH RD,SR-85,18400,Okaloosa
2020,570283,57620501,ANTIOCH RD,SR-85,18400,Okaloosa
2021,570283,57620501,ANTIOCH RD,SR-85,19000,Okaloosa
2022,570283,57620501,ANTIOCH RD,SR-85,19500,Okaloosa
2023,570283,57620501,ANTIOCH RD,SR-85,18300,Okaloosa
2019,570284,57620500,ADDISON PLACE APT,SR-85/S FERDON BLVD,3300,Okaloosa
2020,570284,57620500,ADDISON PLACE APT,SR-85/S FERDON BLVD,3100,Okaloosa
2021,570284,57620500,ADDISON PLACE APT,SR-85/S FERDON BLVD,4100,Okaloosa
2022,570284,57620500,ADDISON PLACE APT,SR-85/S FERDON BLVD,4100,Okaloosa
2023,570284,57620500,ADDISON PLACE APT,SR-85/S FERDON BLVD,4800,Okaloosa
2019,570285,57000021,7TH ST,SR-20,7600,Okaloosa
2020,570285,57000021,7TH ST,SR-20,7000,Okaloosa
2021,570285,57000021,7TH ST,SR-20,7500,Okaloosa
2022,570285,57000021,7TH ST,SR-20,7400,Okaloosa
2023,570285,57000021,7TH ST,SR-20,7600,Okaloosa
2019,570289,57501000,SR-85,POVERTY CREEK RD,5900,Okaloosa
2020,570289,57501000,SR-85,POVERTY CREEK RD,6200,Okaloosa
2021,570289,57501000,SR-85,POVERTY CREEK RD,6500,Okaloosa
2022,570289,57501000,SR-85,POVERTY CREEK RD,7000,Okaloosa
2023,570289,57501000,SR-85,POVERTY CREEK RD,8700,Okaloosa
2019,570290,57130000,GEN BOND BLVD,SR-85,22900,Okaloosa
2020,570290,57130000,GEN BOND BLVD,SR-85,22800,Okaloosa
2021,570290,57130000,GEN BOND BLVD,SR-85,21100,Okaloosa
2022,570290,57130000,GEN BOND BLVD,SR-85,21900,Okaloosa
2023,570290,57130000,GEN BOND BLVD,SR-85,21300,Okaloosa
2019,570291,57130000,SR-85,SR-397/EGLIN BLVD,13900,Okaloosa
2020,570291,57130000,SR-85,SR-397/EGLIN BLVD,13700,Okaloosa
2021,570291,57130000,SR-85,SR-397/EGLIN BLVD,11700,Okaloosa
2022,570291,57130000,SR-85,SR-397/EGLIN BLVD,11900,Okaloosa
2023,570291,57130000,SR-85,SR-397/EGLIN BLVD,12000,Okaloosa
2019,570294,57040000,BAY DR,WHITE POINT RD,30500,Okaloosa
2020,570294,57040000,BAY DR,WHITE POINT RD,28500,Okaloosa
2021,570294,57040000,BAY DR,WHITE POINT RD,31500,Okaloosa
2022,570294,57040000,BAY DR,CR-293/WHITE POINT R,31500,Okaloosa
2023,570294,57040000,BAY DR,CR-293/WHITE POINT R,31000,Okaloosa
2019,570295,57518000,UNSIGNED,SR-20,5700,Okaloosa
2020,570295,57518000,UNSIGNED,SR-20,5400,Okaloosa
2021,570295,57518000,UNSIGNED,SR-20,5200,Okaloosa
2022,570295,57518000,MID BAY BR ADMIN,SR-20,5100,Okaloosa
2023,570295,57518000,MID BAY BR ADMIN,SR-20,5400,Okaloosa
2019,570296,57518000,LEGENDARY MARINE ENT,,20500,Okaloosa
2019,570296,57160000,END TOLL PLAZA CONC,57160113 NB OFF,20500,Okaloosa
2020,570296,57160000,END TOLL PLAZA CONC,57160113 NB OFF,17400,Okaloosa
2020,570296,57518000,LEGENDARY MARINE ENT,,17400,Okaloosa
2021,570296,57160000,END TOLL PLAZA CONC,57160113 NB OFF,22500,Okaloosa
2021,570296,57518000,LEGENDARY MARINE ENT,,22500,Okaloosa
2022,570296,57160000,END TOLL PLAZA CONC,57160113 NB OFF,23000,Okaloosa
2022,570296,57518000,LEGENDARY MARINE DR,,23000,Okaloosa
2023,570296,57518000,LEGENDARY MARINE DR,,23500,Okaloosa
2023,570296,57160000,END TOLL PLAZA CONC,57160113 NB OFF,23500,Okaloosa
2019,570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,7400,Okaloosa
2020,570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,7000,Okaloosa
2021,570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,8600,Okaloosa
2022,570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,12100,Okaloosa
2023,570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,7900,Okaloosa
2019,570298,57040000,EDGEWATER DR,BAY DR,40000,Okaloosa
2020,570298,57040000,EDGEWATER DR,BAY DR,35000,Okaloosa
2021,570298,57040000,EDGEWATER DR,BAY DR,42000,Okaloosa
2022,570298,57040000,EDGEWATER DR,BAY DR,40000,Okaloosa
2023,570298,57040000,EDGEWATER DR,BAY DR,39500,Okaloosa
